id,prompt,A,B,C,D,E,answer
2283,What is Robbah known for?,"Robbah is known for its vibrant nightlife and entertainment scene, offering a variety of clubs and bars.","Robbah is known for its annual music festival, featuring renowned national and international artists.","Robbah is known for its historical landmarks and cultural heritage, attracting tourists from around the world.",Robbah is known as the capital of Robbah District and is a part of the larger urban area of El Oued.,"Robbah is known for its agricultural industry, particularly its production of dates and other crops.",D
2284,What was Elizabeth Olds primarily known for in her career as an artist?,Creating woodcut and lithography prints.,Developing silkscreen as a fine arts medium.,Writing and illustrating children's books.,Painting and illustrating in various mediums.,Being the first female honored with the Guggenheim Fellowship.,A
2285,Which village was the Hawar Kilis Operations Room formed in?,Kilis.,None of the above.,A village on the Syria-Turkey border.,Hawar Kilis.,Aleppo.,D
2286,"What is the radio format of WGPA, a Class D daytimer radio station based in Bethlehem, Pennsylvania?","Jazz and classical music, supplied by SRN News.","Top 40 hits and contemporary pop music, supplied by SRN News.","Alternative rock and indie music, supplied by SRN News.","Hip-hop and R&B music, supplied by SRN News.","Ameripolitan, including rockabilly, 1950s and 60s oldies, classic country and polka music, supplied by SRN News.",E
2287,What was the Consulate General of the United States in Jerusalem responsible for?,The Consulate General was responsible for conducting diplomatic relations with the Israeli government.,"The Consulate General was responsible for providing consular services to Palestinian residents in Jerusalem, the West Bank, and Gaza.",The Consulate General was responsible for providing consular services to Israeli residents in Jerusalem.,The Consulate General was responsible for handling direct contacts between the United States and Palestinian authorities.,The Consulate General was responsible for overseeing the operations of the US Embassy in Jerusalem.,B
2288,Which ice hockey team did Maurice Rozenthal play for during his professional career? ,Boston Bruins ,Detroit Red Wings ,New York Rangers ,Montreal Canadiens ,Toronto Maple Leafs ,D
2289,What was the notable achievement of Gorazd Hiti?,He won the Olympic gold medal in ice hockey.,He led his team to victory in the World Ice Hockey Championships.,He holds the record for the most goals scored in a single season.,He was named the MVP of the European Ice Hockey League.,He represented Slovenia as a retired ice hockey player in international tournaments.,E
2290,What is the significance of the collaboration between Gary Peacock and Jan Garbarek on the album December Poems?,December Poems marked the first commercial release of Gary Peacock's music on the ECM label.,"Gary Peacock's bass playing on December Poems was highly praised by critics, leading to increased recognition for his musical skills.",Jan Garbarek contributed compositions and arrangements that showcased his saxophone virtuosity.,The album December Poems features experimental jazz music influenced by Norwegian folk melodies.,The collaboration between Gary Peacock and Jan Garbarek resulted in a more diversified sound and added depth to the album.,E
2291,Who described the species Penthea pardalis?,Wilson,Smith,Davis,Newman,Johnson,D
2292,What are the ancient cities lying submerged beneath the waters of the Abū Qīr Bay in Egypt?,"Alexandria, Rosetta and Abu Qir","Memphis, Thebes, and Akhetaten","Giza, Luxor, and Aswan","Canopus, Heracleion and Menouthis","Cairo, Nile, and Suez",D
2293,What is Claude R. Canizares known for?,Claude R. Canizares is known for his expertise in nuclear physics and his contributions to the field.,Claude R. Canizares is known for his discovery of the Higgs boson and its implications for particle physics.,Claude R. Canizares is known for his contributions to string theory and quantum gravity.,Claude R. Canizares is known for his research on the properties of black holes and their accretion disks.,Claude R. Canizares is known for his work on dark matter and its impact on galaxy formation.,D
2294,Where is Esaki Station located?,"Esaki Station is a JR West railway station located in Tokyo, Tokyo Prefecture, Japan.","Esaki Station is a JR West railway station located in Hiroshima, Hiroshima Prefecture, Japan.","Esaki Station is a JR West railway station located in Kyoto, Kyoto Prefecture, Japan.","Esaki Station is a JR West railway station located in Hagi, Yamaguchi Prefecture, Japan.","Esaki Station is a JR West railway station located in Osaka, Osaka Prefecture, Japan.",D
2295,What is a planche in gymnastics and calisthenics?,"A planche is a skill in gymnastics and calisthenics in which the body is held parallel to the ground, while being supported above the floor by bent arms. It is a move that requires significant strength and coordination.","A planche is a skill in gymnastics and calisthenics in which the body is held at an angle to the ground, while being supported above the floor by bent arms. It is a move that requires significant flexibility and balance.","A planche is a skill in gymnastics and calisthenics in which the body is held inverted to the ground, while being supported above the floor by bent arms. It is a move that requires significant strength and stability.","A planche is a skill in gymnastics and calisthenics in which the body is held vertically to the ground, while being supported above the floor by bent arms. It is a move that requires significant flexibility and coordination.","A planche is a skill in gymnastics and calisthenics in which the body is held parallel to the ground, while being supported above the floor by straight arms. It is a move that requires significant strength and balance.",E
2296,How many episodes of the television sitcom Nearest and Dearest were made in color?,20 episodes,10 episodes,15 episodes,27 episodes,5 episodes,D
2297,What is the purpose of the Bärengraben tourist attraction in Bern?,To showcase the city's architectural heritage,To provide a natural habitat for endangered species,To house and exhibit bears in an enclosed space,To offer a recreational space for local residents,To promote local cuisine and culinary traditions,C
